"reldate","code_pnt","code_race","relhrs","relmins","indampm","ClkDate","ClkHrs","ClkMins","ClkSecs","FlyTime","bskdate","reldatet","position","race_notes","race_weather","status","ClubPos","ClubVel","ClubPoints","ClubMinsDarkness","ClubFTime","FedPos","FedVel","FedPoints","FedMinsDarkness","FedFTime","NatPos","IntNatPos","yr","mark","ringno","Spare","Spare1","Code","Spare2","RaceCode","OOClub","OOSec","OOFed","OOComb","OONat","OOINat","BiClub","BiComb","BiFed","BiSec","BiNat","BiINat","BiLoft","RaceStatus","OOLoft","WinVel","Distance"
"5/06/2003","MUNG","FLOCK",7,30,"True","",0,0,0,0,"","","","","","",,,,0,,,,,,,0,0,,"","","","",,0,36,,,,,,,,,,,,,0,"R",,0,0
"18/06/2003","STGEO","FLOCK",7,0,"True","25/06/2003",1,15,0,6.25,"","","","[982/62/6567/115/162/7021/7022/7066/7044/188/7043/HOME1.15PM][59/7018/6951/7014/6913/7004/3.15PM.]6572/7.30 2ND DAY.","HARD N/E WINDS.","",0,874.330017089844,,0,,0,,,,,0,0,2001,"TIPC","0062","","",,0,37,,,,,,,,,,,,,22,"T",,0,327875.796005
"24/06/2003","STGEO","FLOCK",7,0,"True","25/06/2003",7,0,0,6.5,"","","","11BIRDS 1.30PM AND 3 AT 1.45PM AND 15 HOME BY DARK[5225 NEXT MORNING.]","HARD N/E WINDS","",0,840.700012207031,,0,,0,,,,,0,0,1999,"TIPC","0811","","",,0,38,,,,,,,,,,,,,18,"T",,0,327875.796005
"23/09/1994","JOF","FLOCK",8,30,"True","7/07/2003",10,16,33,13.2758331298828,"","","","SENT15 BIRDS[L TRAPP 2ND J BRIFFA 3RD.].","FINE S/E WINDS.LITE.","",1,1040.5,,0,,0,,,,,0,0,1993,"DDRPA","0619","","",,0,39,,,,,,,,,,,,,1,"R",,1040.55004882812,940
"18/09/1995","JOF","FLOCK",8,30,"True","19/09/1995",1,16,0,17.4611110687256,"","","","SENT 10 BIRDS.""WON BY L.TRAPP WITH BC-H-DDRPA-93-765."".","","",2,914,,0,,0,,,,,0,0,1993,"DDRPA","0601","","",,0,40,5,,,,,,,,,,,,3,"R",,926,940
"20/09/1996","JOF","FLOCK",10,20,"True","20/09/1996",11,0,0,12.6666669845581,"","","","SENT 75 BIRDS.{13+21+23+80. HOME 11PM.} 50 BIRDS HOME.","","",0,0,,0,,0,,,,,0,0,1995,"TILDF","0013","","",,0,41,,,,,,,,,,,,,5,"R",,0,940
"4/07/1997","JOF","FLOCK",12,0,"False","4/07/1997",9,30,0,21.5,"","","","""WINNER.B.BH TILDF-94 -207{9.30AM 3RD DAY.VERY HARD 10 TO 15 KNOT HEAD WINDS S/E TO EAST WINDS.FOR L TRAPP.}I SENT 72 BIRDS.19 HOME.","10 TO 15 KNOT HEAD WINDS.","",0,0,,0,,0,,,,,0,0,1994,"TILDF","0207","","",,0,42,2,,,,,,,,,,,,4,"R",,0,940
"10/07/2003","QUILP","FLOCK",7,30,"True","18/07/2003",7,20,0,11.8333330154419,"","","","TWO NIGHT BIRDS.","LITE N/E WINDS.","",1,1120,,0,,2,,,,,0,0,2001,"TIPC","0044","","",,0,43,5,,26,,,,1,,2,,,,23,"R",,1197.89001464844,0
"10/07/2003","Q/YBD","FLOCK",7,0,"True","",0,0,0,0,"","","","","","",,,,0,,,,,,,0,0,,"","","","",,0,44,,,,,,,,,,,,,0,"R",,0,0
"10/07/2003","CH/YB","FLOCK",7,0,"True","31/08/2003",0,0,0,13.5663890838623,"","","","","GOOD WEATHER.","",1,840.030029296875,,0,,18,,,,,0,0,2002,"DDRPA","7044","","",,0,45,5,,23,,,,,,,,,,8,"R",,0,0
"8/08/1997","WINDO","FLOCK",9,0,"True","8/08/1997",5,46,0,9.45777797698975,"","","","TILDF-1995-0023 WON BY 43MIN.","FINE S/W WIONDS.","",1,1662,,0,,1,,,,,0,0,1995,"TILDF","0023","","",,0,46,43,,,,,,,,,,,,4,"R",,1662,960
"17/10/1997","WINDO","FLOCK",6,0,"True","17/10/1997",0,0,0,0,"","","","WON BY MERVE STEWART{B.C.H.DALBY-1995-0134.  VOL 937.","","",0,0,,0,,0,,,,,0,0,1994,"TILDF","0098","","",,0,47,,,,,,,,,,,,,1,"R",,937,0
"8/09/2001","AUGA","FLOCK",7,0,"True","8/09/2001",6,45,0,0,"","","","","","",1,0,,0,,3,,,,,0,0,2000,"TIPC","0097","","",,0,48,,,,,,,1,,3,,,,9,"R",,0,0
"5/10/2001","LONGR","FLOCK",7,0,"True","5/10/2001",0,0,0,0,"","","","","","",0,0,,0,,0,,,,,0,0,2000,"TIPC","0083","","",,0,49,,,,,,,,,,,,,6,"R",,0,0
"5/10/2001","WINTO","FLOCK",7,0,"True","5/10/2001",0,0,0,0,"","","","","","",0,0,,0,,0,,,,,0,0,1999,"TIPC","0826","","",,0,50,,,,,,,,,,,,,4,"R",,0,0
"17/10/1997","MORNE","FLOCK",6,0,"True","17/10/1997",1,29,0,0,"","","","","","",1,837,,0,,4,,,,,0,0,1994,"TILDF","0068","","",,0,51,,,,,,,1,,4,,,,3,"R",,929,0
"26/09/2003","WINDO","FLOCK",6,30,"True","27/09/2003",7,57,0,15.3322219848633,"","","","STORMED LATE  FRIDAY 5.30PM BIRDS COME BACK FROM EAST.CLOCKED1047-1999 A OLD RING'BORN 2002'.","WESTLY WIND'S.","",1,0,,0,,6,,,,,0,0,1999,"TIPC","1047","","",,0,52,,,,,,,1,,6,,,,73,"R",,0,0
"26/09/2003","MORNE","FLOCK",6,0,"True","27/09/2003",11,47,0,18.9830551147461,"","","","BREEDER""M.STEWART.""","WESTLY WINDS.","",1,893.659973144531,,0,,6,,,,,0,0,2002,"DALBY","1687","","",,0,53,,,,,,,1,,1,,,,44,"R",,0,1020
"13/09/2003","QUILP","FLOCK",7,0,"True","",0,0,0,0,"","","","","","",,,,0,,,,,,,0,0,,"","","","",,0,55,,,,,,,,,,,,,0,"R",,0,0
"17/10/2003","KYNUN","FLOCK",7,0,"True","",0,0,0,0,"","","","","","",,,,0,,,,,,,0,0,,"","","","",,0,56,,,,,,,,,,,,,0,"R",,0,0
"3/07/2004","CLARM","FLOCK",7,0,"True","",0,0,0,0,"","","","","","",,,,0,,,,,,,0,0,,"","","","",,0,57,,,,,,,,,,,,,0,"R",,0,0
